transaction_id,transaction_timestamp,transaction_type,merchant_category,amount,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,year,month,month_name,quarter,transaction_date
1,08-10-2024 15:17,P2P,Entertainment,868,SUCCESS,26-35,18-25,Delhi,Axis,SBI,Android,4G,0,2024,10,October,Q4,08-10-2024
2,11-04-2024 06:56,P2M,Grocery,1011,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,Axis,iOS,4G,0,2024,4,April,Q2,11-04-2024
3,02-04-2024 13:27,P2P,Grocery,477,SUCCESS,26-35,36-45,Karnataka,Yes Bank,PNB,Android,4G,0,2024,4,April,Q2,02-04-2024
4,07-01-2024 10:09,P2P,Fuel,2784,SUCCESS,26-35,26-35,Delhi,ICICI,PNB,Android,5G,0,2024,1,January,Q1,07-01-2024
5,23-01-2024 19:04,P2P,Shopping,990,SUCCESS,26-35,18-25,Delhi,Axis,Yes Bank,iOS,WiFi,0,2024,1,January,Q1,23-01-2024
6,07-10-2024 22:32,P2P,Food,91,SUCCESS,36-45,18-25,Karnataka,IndusInd,Yes Bank,Android,3G,0,2024,10,October,Q4,07-10-2024
7,08-02-2024 10:25,P2P,Other,314,SUCCESS,36-45,18-25,Telangana,HDFC,IndusInd,Android,4G,0,2024,2,February,Q1,08-02-2024
8,27-10-2024 18:47,P2P,Utilities,264,SUCCESS,46-55,36-45,Maharashtra,Yes Bank,SBI,Android,5G,0,2024,10,October,Q4,27-10-2024
9,21-11-2024 09:39,P2P,Other,887,SUCCESS,46-55,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,2024,11,November,Q4,21-11-2024
10,11-11-2024 15:58,P2M,Grocery,3260,SUCCESS,46-55,18-25,Delhi,SBI,HDFC,Android,4G,0,2024,11,November,Q4,11-11-2024
11,07-04-2024 20:14,P2P,Food,587,SUCCESS,26-35,46-55,Karnataka,SBI,SBI,Android,4G,0,2024,4,April,Q2,07-04-2024
12,24-12-2024 10:44,P2M,Other,518,SUCCESS,26-35,18-25,Gujarat,Yes Bank,SBI,Android,4G,0,2024,12,December,Q4,24-12-2024
13,16-11-2024 20:09,P2P,Transport,73,SUCCESS,26-35,18-25,Uttar Pradesh,Axis,Kotak,Android,4G,0,2024,11,November,Q4,16-11-2024
14,10-04-2024 00:51,Bill Payment,Grocery,430,SUCCESS,56+,36-45,Gujarat,Yes Bank,Yes Bank,Android,4G,0,2024,4,April,Q2,10-04-2024
15,03-02-2024 12:35,P2P,Transport,544,SUCCESS,18-25,46-55,Uttar Pradesh,IndusInd,Axis,Android,5G,0,2024,2,February,Q1,03-02-2024
16,09-11-2024 15:21,P2M,Grocery,1346,SUCCESS,18-25,18-25,Rajasthan,SBI,SBI,Android,5G,0,2024,11,November,Q4,09-11-2024
17,25-01-2024 07:27,P2P,Food,171,SUCCESS,46-55,18-25,Delhi,HDFC,SBI,Android,5G,0,2024,1,January,Q1,25-01-2024
18,19-05-2024 18:38,P2M,Healthcare,189,SUCCESS,18-25,18-25,Gujarat,SBI,PNB,iOS,5G,0,2024,5,May,Q2,19-05-2024
19,11-11-2024 22:08,P2P,Healthcare,799,SUCCESS,26-35,18-25,Karnataka,ICICI,SBI,Android,4G,0,2024,11,November,Q4,11-11-2024
20,13-06-2024 18:25,P2P,Utilities,450,SUCCESS,26-35,36-45,Tamil Nadu,Yes Bank,IndusInd,iOS,WiFi,0,2024,6,June,Q2,13-06-2024
21,19-05-2024 10:41,Bill Payment,Food,1341,SUCCESS,36-45,26-35,Karnataka,SBI,ICICI,Android,WiFi,0,2024,5,May,Q2,19-05-2024
22,02-11-2024 17:13,Recharge,Entertainment,280,SUCCESS,26-35,26-35,Maharashtra,SBI,PNB,Android,4G,0,2024,11,November,Q4,02-11-2024
23,18-10-2024 04:35,P2P,Shopping,397,SUCCESS,18-25,26-35,Delhi,Axis,SBI,Android,5G,0,2024,10,October,Q4,18-10-2024
24,21-01-2024 07:57,P2M,Grocery,1847,SUCCESS,18-25,46-55,Gujarat,HDFC,Yes Bank,Android,5G,0,2024,1,January,Q1,21-01-2024
25,24-01-2024 10:43,Bill Payment,Grocery,690,SUCCESS,26-35,26-35,Tamil Nadu,Yes Bank,PNB,iOS,5G,0,2024,1,January,Q1,24-01-2024
26,01-07-2024 12:01,Bill Payment,Entertainment,218,SUCCESS,18-25,36-45,Karnataka,Axis,Yes Bank,Android,4G,0,2024,7,July,Q3,01-07-2024
27,28-08-2024 21:10,P2P,Food,1276,SUCCESS,18-25,18-25,Karnataka,Kotak,HDFC,Android,5G,0,2024,8,August,Q3,28-08-2024
28,09-11-2024 18:49,P2P,Grocery,146,SUCCESS,26-35,36-45,Delhi,PNB,HDFC,iOS,4G,0,2024,11,November,Q4,09-11-2024
29,09-09-2024 15:24,P2P,Grocery,1755,SUCCESS,36-45,36-45,Delhi,SBI,IndusInd,Web,WiFi,0,2024,9,September,Q3,09-09-2024
30,18-10-2024 17:43,Bill Payment,Transport,165,SUCCESS,18-25,26-35,Rajasthan,SBI,SBI,Android,4G,0,2024,10,October,Q4,18-10-2024
31,20-12-2024 16:15,P2P,Healthcare,1495,SUCCESS,26-35,36-45,Gujarat,SBI,HDFC,Android,4G,0,2024,12,December,Q4,20-12-2024
32,17-12-2024 16:45,P2P,Grocery,394,SUCCESS,18-25,18-25,Gujarat,Yes Bank,SBI,Android,5G,0,2024,12,December,Q4,17-12-2024
33,11-05-2024 16:47,Recharge,Shopping,1693,SUCCESS,26-35,36-45,Telangana,SBI,IndusInd,Android,5G,0,2024,5,May,Q2,11-05-2024
34,25-05-2024 13:30,P2M,Food,144,SUCCESS,18-25,36-45,Maharashtra,PNB,PNB,Android,WiFi,0,2024,5,May,Q2,25-05-2024
35,23-02-2024 07:27,P2M,Fuel,1804,SUCCESS,36-45,26-35,Telangana,Axis,SBI,Android,4G,0,2024,2,February,Q1,23-02-2024
36,19-04-2024 22:12,P2P,Fuel,721,SUCCESS,46-55,18-25,Gujarat,HDFC,ICICI,Android,3G,0,2024,4,April,Q2,19-04-2024
37,26-07-2024 17:09,P2M,Shopping,7987,SUCCESS,18-25,36-45,Maharashtra,IndusInd,IndusInd,Android,4G,0,2024,7,July,Q3,26-07-2024
38,16-08-2024 21:26,Bill Payment,Shopping,5154,SUCCESS,56+,36-45,Uttar Pradesh,ICICI,SBI,Web,5G,0,2024,8,August,Q3,16-08-2024
39,23-07-2024 17:02,P2P,Entertainment,131,SUCCESS,36-45,18-25,West Bengal,Yes Bank,SBI,Web,5G,0,2024,7,July,Q3,23-07-2024
40,27-02-2024 01:43,P2M,Healthcare,192,SUCCESS,26-35,26-35,Karnataka,SBI,SBI,Android,5G,0,2024,2,February,Q1,27-02-2024
41,24-01-2024 10:28,Recharge,Food,82,SUCCESS,56+,18-25,Gujarat,HDFC,SBI,Android,5G,0,2024,1,January,Q1,24-01-2024
42,29-10-2024 12:54,P2M,Shopping,4309,SUCCESS,56+,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,2024,10,October,Q4,29-10-2024
43,18-01-2024 13:49,P2P,Utilities,2338,SUCCESS,26-35,56+,Gujarat,Axis,SBI,Android,5G,0,2024,1,January,Q1,18-01-2024
44,17-02-2024 14:03,P2M,Food,292,SUCCESS,56+,26-35,Tamil Nadu,SBI,SBI,Android,4G,0,2024,2,February,Q1,17-02-2024
45,08-09-2024 09:21,P2P,Grocery,765,SUCCESS,18-25,36-45,Maharashtra,SBI,Yes Bank,iOS,WiFi,0,2024,9,September,Q3,08-09-2024
46,29-09-2024 21:04,P2P,Transport,51,SUCCESS,18-25,36-45,Uttar Pradesh,Axis,IndusInd,iOS,4G,0,2024,9,September,Q3,29-09-2024
47,04-03-2024 09:35,Bill Payment,Food,144,SUCCESS,18-25,18-25,Delhi,Yes Bank,Axis,Android,WiFi,0,2024,3,March,Q1,04-03-2024
48,06-02-2024 17:19,P2P,Other,994,SUCCESS,18-25,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,2024,2,February,Q1,06-02-2024
49,25-05-2024 17:14,P2P,Shopping,2393,SUCCESS,26-35,26-35,Maharashtra,ICICI,ICICI,Android,5G,0,2024,5,May,Q2,25-05-2024
50,29-02-2024 18:47,P2P,Other,864,SUCCESS,36-45,46-55,West Bengal,Yes Bank,SBI,Android,4G,0,2024,2,February,Q1,29-02-2024
51,05-12-2024 18:42,P2P,Transport,36,SUCCESS,36-45,36-45,Gujarat,ICICI,IndusInd,Android,WiFi,0,2024,12,December,Q4,05-12-2024
52,15-02-2024 10:52,P2M,Utilities,582,SUCCESS,18-25,18-25,Delhi,PNB,IndusInd,Android,4G,0,2024,2,February,Q1,15-02-2024
53,31-08-2024 15:47,P2P,Other,364,SUCCESS,36-45,26-35,Gujarat,SBI,HDFC,iOS,4G,0,2024,8,August,Q3,31-08-2024
54,11-01-2024 18:25,P2P,Other,203,SUCCESS,36-45,18-25,Delhi,SBI,IndusInd,Android,4G,0,2024,1,January,Q1,11-01-2024
55,29-04-2024 18:29,P2M,Shopping,4987,SUCCESS,56+,26-35,Karnataka,PNB,Yes Bank,iOS,4G,0,2024,4,April,Q2,29-04-2024
56,13-09-2024 10:41,P2P,Entertainment,213,SUCCESS,26-35,18-25,West Bengal,HDFC,Yes Bank,Android,4G,0,2024,9,September,Q3,13-09-2024
57,07-10-2024 05:43,P2M,Healthcare,1315,SUCCESS,26-35,18-25,West Bengal,HDFC,PNB,Android,4G,0,2024,10,October,Q4,07-10-2024
58,16-01-2024 21:57,P2P,Grocery,2685,SUCCESS,36-45,26-35,Gujarat,SBI,Kotak,Android,4G,0,2024,1,January,Q1,16-01-2024
59,21-11-2024 15:54,P2M,Entertainment,220,SUCCESS,18-25,18-25,Karnataka,PNB,ICICI,Android,4G,0,2024,11,November,Q4,21-11-2024
60,14-10-2024 19:49,P2M,Fuel,1831,SUCCESS,36-45,26-35,Delhi,PNB,Kotak,iOS,5G,0,2024,10,October,Q4,14-10-2024
61,11-09-2024 20:20,P2P,Shopping,159,FAILED,56+,36-45,Tamil Nadu,SBI,PNB,Android,5G,0,2024,9,September,Q3,11-09-2024
62,25-08-2024 15:26,P2P,Entertainment,475,SUCCESS,18-25,18-25,Karnataka,ICICI,HDFC,Android,4G,0,2024,8,August,Q3,25-08-2024
63,15-03-2024 17:31,P2M,Food,351,SUCCESS,26-35,36-45,Uttar Pradesh,Yes Bank,ICICI,Android,5G,0,2024,3,March,Q1,15-03-2024
64,12-01-2024 08:34,P2P,Other,726,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,PNB,Android,WiFi,0,2024,1,January,Q1,12-01-2024
65,29-04-2024 17:25,P2P,Food,386,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,Yes Bank,Android,4G,0,2024,4,April,Q2,29-04-2024
66,29-04-2024 17:06,P2M,Food,55,SUCCESS,26-35,18-25,Rajasthan,ICICI,ICICI,iOS,4G,0,2024,4,April,Q2,29-04-2024
67,14-07-2024 05:33,P2M,Other,394,SUCCESS,56+,46-55,Uttar Pradesh,SBI,ICICI,Android,4G,0,2024,7,July,Q3,14-07-2024
68,14-08-2024 18:30,P2M,Shopping,221,FAILED,46-55,26-35,Delhi,HDFC,IndusInd,iOS,5G,0,2024,8,August,Q3,14-08-2024
69,06-11-2024 12:39,Bill Payment,Food,131,SUCCESS,26-35,18-25,Telangana,Axis,SBI,Android,4G,0,2024,11,November,Q4,06-11-2024
70,08-04-2024 12:29,P2M,Fuel,257,SUCCESS,56+,26-35,Uttar Pradesh,PNB,Axis,Android,5G,0,2024,4,April,Q2,08-04-2024
71,14-12-2024 12:14,Bill Payment,Shopping,183,SUCCESS,26-35,26-35,Gujarat,PNB,Yes Bank,iOS,4G,0,2024,12,December,Q4,14-12-2024
72,27-01-2024 08:43,P2P,Healthcare,1376,SUCCESS,36-45,36-45,Gujarat,IndusInd,Kotak,Android,4G,0,2024,1,January,Q1,27-01-2024
73,10-03-2024 16:12,P2P,Other,760,SUCCESS,36-45,36-45,Maharashtra,SBI,SBI,Android,4G,0,2024,3,March,Q1,10-03-2024
74,04-12-2024 18:27,Bill Payment,Utilities,2060,SUCCESS,36-45,46-55,Karnataka,Axis,ICICI,iOS,4G,0,2024,12,December,Q4,04-12-2024
75,29-08-2024 21:38,P2P,Food,929,SUCCESS,26-35,26-35,West Bengal,SBI,Yes Bank,iOS,4G,0,2024,8,August,Q3,29-08-2024
76,19-05-2024 19:09,P2P,Transport,89,SUCCESS,36-45,36-45,Karnataka,PNB,Kotak,Android,5G,0,2024,5,May,Q2,19-05-2024
77,16-12-2024 14:23,Bill Payment,Utilities,417,SUCCESS,36-45,36-45,Telangana,HDFC,SBI,Android,5G,0,2024,12,December,Q4,16-12-2024
